,State,Month,Predicted Value,Value,State_encoded,Error,Absolute Error,Squared Error
24,Arizona,3,28.760944064124093,13.1,2,15.660944064124093,15.660944064124093,245.26516897962367
25,Arizona,3,28.760944064124093,15.9,2,12.860944064124093,12.860944064124093,165.40388222052874
26,Arizona,3,28.760944064124093,19.8,2,8.960944064124092,8.960944064124092,80.2985185203608
27,Arizona,4,28.935431270376892,14.8,2,14.135431270376891,14.135431270376891,199.81041719954885
28,Arizona,4,28.935431270376892,19.5,2,9.435431270376892,9.435431270376892,89.02736325800609
29,Arizona,4,28.935431270376892,22.6,2,6.3354312703768905,6.3354312703768905,40.13768938166934
30,Arizona,5,29.109918476629687,15.7,2,13.409918476629688,13.409918476629688,179.82591354985428
31,Arizona,5,29.109918476629687,17.4,2,11.709918476629689,11.709918476629689,137.12219072931336
32,Arizona,5,29.109918476629687,22.3,2,6.8099184766296865,6.8099184766296865,46.37498965834239
33,Arizona,6,29.284405682882483,11.4,2,17.88440568288248,17.88440568288248,319.85196662991916
34,Arizona,6,29.284405682882483,15.2,2,14.084405682882483,14.084405682882483,198.37048344001238
35,Arizona,6,29.284405682882483,18.2,2,11.084405682882483,11.084405682882483,122.8640493427175
36,Arkansas,3,28.74320292446699,14.8,3,13.943202924466988,13.943202924466988,194.41290779286476
37,Arkansas,3,28.74320292446699,20.2,3,8.54320292446699,8.54320292446699,72.98631620862132
38,Arkansas,3,28.74320292446699,23.0,3,5.743202924466988,5.743202924466988,32.98437983160617
39,Arkansas,4,28.917690130719787,14.7,3,14.217690130719788,14.217690130719788,202.14271265316685
40,Arkansas,4,28.917690130719787,19.1,3,9.817690130719786,9.817690130719786,96.38703950283269
41,Arkansas,4,28.917690130719787,22.5,3,6.417690130719787,6.417690130719787,41.18674661393816
42,Arkansas,5,29.092177336972583,13.2,3,15.892177336972583,15.892177336972583,252.56130050978499
43,Arkansas,5,29.092177336972583,16.1,3,12.992177336972581,12.992177336972581,168.79667195534395
44,Arkansas,5,29.092177336972583,19.4,3,9.692177336972584,9.692177336972584,93.93830153132497
45,Arkansas,6,29.266664543225378,15.9,3,13.366664543225378,13.366664543225378,178.6677210111185
46,Arkansas,6,29.266664543225378,19.5,3,9.766664543225378,9.766664543225378,95.38773629989578
